2025-07-11 01:12:34,757 [INFO] Use pytorch device_name: mps
2025-07-11 01:12:34,757 [INFO] Load pretrained SentenceTransformer: all-mpnet-base-v2
2025-07-11 01:12:50,910 [INFO] [575/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/opus4/req-019/REQ-019-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/opus4/req-019/REQ-019-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'status': 'success', 'silhouette': 0.03516794368624687, 'fallback': ''}
2025-07-11 01:12:52,440 [INFO] [600/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/opus4/req-020/REQ-020-HLJ-Chunk_2-Item_12-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/opus4/req-020/REQ-020-HLJ-Chunk_2-Item_12-v1.0_yake.json', 'status': 'success', 'silhouette': 0.010811480693519115, 'fallback': ''}
2025-07-11 01:12:52,947 [INFO] [625/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/gpt41/req-008/REQ-008-HLJ-Chunk_1-Item_3-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/gpt41/req-008/REQ-008-HLJ-Chunk_1-Item_3-v1.0_yake.json', 'status': 'success', 'silhouette': 0.037223994731903076, 'fallback': ''}
2025-07-11 01:12:53,626 [INFO] [650/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/gpt41/req-006/REQ-006-HLJ-Chunk_2-Item_5-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/gpt41/req-006/REQ-006-HLJ-Chunk_2-Item_5-v1.0_yake.json', 'status': 'success', 'silhouette': 0.011206035502254963, 'fallback': ''}
2025-07-11 01:12:54,155 [INFO] [675/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/gpt41/req-007/REQ-007-HLJ-Chunk_1-Item_3-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/gpt41/req-007/REQ-007-HLJ-Chunk_1-Item_3-v1.0_yake.json', 'status': 'success', 'silhouette': 0.008853659965097904, 'fallback': ''}
2025-07-11 01:12:54,648 [INFO] [700/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/gpt41/req-009/REQ-009-HLJ-Chunk_1-Item_7-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/gpt41/req-009/REQ-009-HLJ-Chunk_1-Item_7-v1.0_yake.json', 'status': 'success', 'silhouette': 0.012589797377586365, 'fallback': ''}
2025-07-11 01:12:55,176 [INFO] [725/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/gpt41/req-013/REQ-013-HLJ-Chunk_2-Item_4-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/gpt41/req-013/REQ-013-HLJ-Chunk_2-Item_4-v1.0_yake.json', 'status': 'success', 'silhouette': 0.01431900355964899, 'fallback': ''}
2025-07-11 01:12:55,603 [INFO] [750/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/gpt41/req-022/REQ-022-HLJ-Chunk_1-Item_9-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/gpt41/req-022/REQ-022-HLJ-Chunk_1-Item_9-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:12:56,017 [INFO] [775/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/gpt41/req-024/REQ-024-HLJ-Chunk_2-Item_3-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/gpt41/req-024/REQ-024-HLJ-Chunk_2-Item_3-v1.0_yake.json', 'status': 'success', 'silhouette': 0.009334154427051544, 'fallback': ''}
2025-07-11 01:12:56,446 [INFO] [800/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/gpt41/req-015/REQ-015-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/gpt41/req-015/REQ-015-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
