2025-07-11 01:08:34,692 [INFO] Use pytorch device_name: mps
2025-07-11 01:08:34,692 [INFO] Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-07-11 01:08:45,466 [INFO] [975/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/gpt41/req-029/REQ-029-HLJ-Chunk_1-Item_10-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/gpt41/req-029/REQ-029-HLJ-Chunk_1-Item_10-v1.0_yake.json', 'status': 'success', 'silhouette': 0.04262692108750343, 'fallback': ''}
2025-07-11 01:08:45,858 [INFO] [1000/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/rake/meta70b/req-008/REQ-008-HLJ-Chunk_2-Item_9-v1.0_rake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/rake/meta70b/req-008/REQ-008-HLJ-Chunk_2-Item_9-v1.0_rake.json', 'status': 'success', 'silhouette': -0.010631280951201916, 'fallback': ''}
2025-07-11 01:08:47,100 [INFO] [1025/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/rake/meta70b/req-006/REQ-006-HLJ-Chunk_1-Item_7-v1.0_rake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/rake/meta70b/req-006/REQ-006-HLJ-Chunk_1-Item_7-v1.0_rake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:08:47,739 [INFO] [1050/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/rake/meta70b/req-009/REQ-009-HLJ-Chunk_1-Item_5-v1.0_rake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/rake/meta70b/req-009/REQ-009-HLJ-Chunk_1-Item_5-v1.0_rake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:08:47,957 [INFO] [1075/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/rake/meta70b/req-013/REQ-013-HLJ-Chunk_2-Item_1-v1.0_rake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/rake/meta70b/req-013/REQ-013-HLJ-Chunk_2-Item_1-v1.0_rake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:08:48,227 [INFO] [1087/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/rake/meta70b/req-025/REQ-025-HLJ-Chunk_1-Item_2-v1.0_rake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/rake/meta70b/req-025/REQ-025-HLJ-Chunk_1-Item_2-v1.0_rake.json', 'status': 'no_candidates'}
2025-07-11 01:08:48,339 [INFO] [1100/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/rake/meta70b/req-023/REQ-023-HLJ-Chunk_1-Item_2-v1.0_rake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/rake/meta70b/req-023/REQ-023-HLJ-Chunk_1-Item_2-v1.0_rake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:08:48,455 [INFO] [1114/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/rake/meta70b/req-024/REQ-024-HLJ-Chunk_2-Item_10-v1.0_rake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/rake/meta70b/req-024/REQ-024-HLJ-Chunk_2-Item_10-v1.0_rake.json', 'status': 'no_candidates'}
2025-07-11 01:08:48,553 [INFO] [1125/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/rake/meta70b/req-012/REQ-012-HLJ-Chunk_2-Item_7-v1.0_rake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/rake/meta70b/req-012/REQ-012-HLJ-Chunk_2-Item_7-v1.0_rake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:08:48,970 [INFO] [1150/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/rake/meta70b/req-005/REQ-005-HLJ-Chunk_2-Item_9-v1.0_rake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/rake/meta70b/req-005/REQ-005-HLJ-Chunk_2-Item_9-v1.0_rake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
